Season,Player,Team,Opp,Result,Player_VORP,Second_Best_Player,Second_Best_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
1991,Michael Jordan,CHI,LAL,W,2.9,Scottie Pippen*,1.5,1.4,Magic Johnson*,2.0,8.57,6.73,1.84
1992,Michael Jordan,CHI,POR,W,2.8,Scottie Pippen*,2.0,0.8,Clyde Drexler*,2.1,10.07,6.94,3.13
1993,Michael Jordan,CHI,PHO,W,2.7,Horace Grant,0.9,1.8,Charles Barkley*,2.3,6.19,6.27,-0.08
1996,Michael Jordan,CHI,SEA,W,2.4,Scottie Pippen*,1.8,0.6,Gary Payton*,1.6,11.8,7.4,4.4
1997,Michael Jordan,CHI,UTA,W,2.4,Scottie Pippen*,1.4,1.0,John Stockton*,1.8,10.7,7.97,2.73
1998,Michael Jordan,CHI,UTA,W,2.4,Scottie Pippen*,1.6,0.8,Karl Malone*,1.8,7.24,5.73,1.51
2007,LeBron James,CLE,SAS,L,2.2,Daniel Gibson,0.8,1.4,Tim Duncan*,1.7,3.33,8.35,-5.02
2011,LeBron James,MIA,DAL,L,2.1,Dwyane Wade,2.2,-0.1,Dirk Nowitzki*,1.6,6.76,4.41,2.35
2012,LeBron James,MIA,OKC,W,3.1,Dwyane Wade*,1.7,1.4,Kevin Durant,2.2,5.72,6.44,-0.72
2013,LeBron James,MIA,SAS,W,3.0,Dwyane Wade*,1.0,2.0,Kawhi Leonard,1.4,7.03,6.67,0.36
2014,LeBron James,MIA,SAS,L,2.4,Chris Bosh*,0.7,1.7,Kawhi Leonard,1.3,4.15,8.0,-3.85
2015,LeBron James,CLE,GSW,L,2.1,Kyrie Irving,0.8,1.3,Stephen Curry,2.2,4.08,10.01,-5.93
2016,LeBron James,CLE,GSW,W,2.7,Kyrie Irving,1.6,1.1,Draymond Green,1.7,5.45,10.38,-4.93
2017,LeBron James,CLE,GSW,L,2.2,Kevin Love,0.8,1.4,Stephen Curry,1.8,2.87,11.35,-8.48
2018,LeBron James,CLE,GSW,L,3.4,Larry Nance Jr.,0.5,2.9,Kevin Durant,2.0,0.59,5.79,-5.2
2020,LeBron James,LAL,MIA,W,2.4,Anthony Davis,2.1,0.3,Jimmy Butler,1.6,6.28,2.59,3.69
