Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Steven Adams,C,22,OKC,18.0,553.0,16.8,.636,.009,.658,12.7,21.6,17.2,3.5,0.8,2.0,10.6,12.6,,1.5,0.6,2.1,0.18,,1.5,0.3,1.8,0.5,2016
2,Cole Aldrich,C,27,LAC,6.0,77.0,21.4,.652,.000,.400,10.4,28.1,19.3,6.0,4.0,3.3,10.2,11.4,,0.2,0.2,0.4,0.254,,1.1,3.3,4.4,0.1,2016
3,LaMarcus Aldridge,PF,30,SAS,10.0,337.0,25.0,.579,.012,.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,,1.0,0.5,1.6,0.223,,3.5,0.2,3.6,0.5,2016
4,Lavoy Allen,PF,26,IND,6.0,51.0,7.1,.300,.000,.000,9.7,21.0,15.7,6.2,1.1,1.6,9.1,10.4,,0.0,0.1,0.0,0.031,,-2.1,-0.4,-2.4,0.0,2016
5,Tony Allen,SG,34,MEM,4.0,94.0,6.7,.387,.212,.394,6.4,7.2,6.8,5.7,2.9,1.9,13.4,21.9,,-0.2,0.0,-0.2,-0.103,,-4.1,-0.7,-4.8,-0.1,2016
6,Al-Farouq Aminu,SF,25,POR,11.0,372.0,15.5,.572,.547,.227,6.2,20.4,13.1,8.7,1.1,2.1,13.0,18.6,,0.5,0.3,0.8,0.1,,2.1,0.5,2.7,0.4,2016
7,Chris Andersen,C,37,MEM,4.0,79.0,14.7,.483,.000,.667,16.5,31.0,22.7,6.3,1.4,3.3,24.4,11.9,,0.0,0.0,0.0,0.021,,-0.3,-1.0,-1.3,0.0,2016
8,Justin Anderson,SF,22,DAL,5.0,95.0,19.2,.544,.351,.378,10.6,14.1,12.3,13.2,2.2,2.8,10.4,23.5,,0.2,0.0,0.1,0.058,,2.0,0.7,2.7,0.1,2016
9,Kyle Anderson,SF,22,SAS,10.0,129.0,7.7,.410,.120,.280,1.9,18.6,10.7,7.3,2.4,1.8,12.5,11.6,,-0.1,0.2,0.1,0.055,,-4.5,2.0,-2.4,0.0,2016
10,Trevor Ariza,SF,30,HOU,5.0,181.0,1.8,.313,.549,.078,3.9,8.7,6.1,3.6,3.5,0.5,18.5,14.7,,-0.5,0.1,-0.4,-0.116,,-6.1,-0.5,-6.6,-0.2,2016
11,Jeff Ayres,C,28,LAC,2.0,2.0,68.8,1.042,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1,,0.0,0.0,0.0,0.768,,23.2,6.1,29.3,0.0,2016
12,Leandro Barbosa,SG,33,GSW,23.0,254.0,18.4,.663,.318,.239,4.8,6.7,5.8,9.7,2.1,0.3,10.2,18.7,,0.7,0.2,0.9,0.172,,1.7,1.6,3.3,0.3,2016
13,J.J. Barea,PG,31,DAL,4.0,100.0,2.0,.358,.235,.059,0.0,7.3,3.5,31.9,0.0,0.0,24.0,21.2,,-0.3,-0.2,-0.5,-0.241,,-5.6,-6.3,-11.8,-0.3,2016
14,Harrison Barnes,SF,23,GSW,24.0,743.0,8.6,.474,.357,.160,4.0,12.2,8.2,5.8,1.1,0.4,7.3,14.5,,0.2,0.6,0.7,0.047,,-1.8,-0.7,-2.4,-0.1,2016
15,Matt Barnes,SF,35,MEM,4.0,139.0,7.0,.427,.391,.217,3.6,23.5,12.1,14.3,1.6,0.6,20.5,21.0,,-0.3,0.0,-0.3,-0.107,,-3.5,-0.9,-4.4,-0.1,2016
16,Nicolas Batum,SF,27,CHO,5.0,144.0,12.1,.530,.489,.444,1.5,13.6,7.1,12.7,0.7,0.0,12.9,20.4,,0.0,0.1,0.1,0.031,,-0.1,-2.3,-2.4,0.0,2016
17,Aron Baynes,C,29,DET,4.0,44.0,5.9,.484,.000,.333,8.6,13.4,11.1,6.9,0.0,0.0,22.5,15.2,,0.0,0.0,-0.1,-0.081,,-4.7,-2.8,-7.4,-0.1,2016
18,Kent Bazemore,SF,26,ATL,10.0,325.0,11.9,.455,.504,.182,2.8,18.3,10.9,9.4,2.2,1.7,7.1,19.4,,-0.1,0.5,0.3,0.049,,-1.0,0.7,-0.3,0.1,2016
19,Michael Beasley,PF,27,HOU,5.0,80.0,15.9,.530,.130,.152,5.0,23.8,13.8,9.1,0.6,0.0,12.5,28.8,,0.0,0.0,0.0,0.015,,1.4,-1.8,-0.4,0.0,2016
20,Patrick Beverley,PG,27,HOU,5.0,129.0,5.0,.366,.378,.162,3.1,15.6,9.0,14.0,0.8,1.3,9.2,13.9,,-0.1,0.0,-0.1,-0.031,,-4.1,-1.1,-5.2,-0.1,2016
