Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2025,Eastern Conf First Round,CLE,MIA,W,4-0,Donovan Mitchell,0.7,Evan Mobley,0.5,0.2,Haywood Highsmith,0.1,8.81,0.11,8.7
2025,Eastern Conf First Round,MIA,CLE,L,0-4,Haywood Highsmith,0.1,Davion Mitchell,0.1,0.0,Donovan Mitchell,0.7,0.11,8.81,-8.7
2025,Eastern Conf First Round,IND,MIL,W,4-1,Tyrese Haliburton,1.3,Pascal Siakam,1.2,0.1,Giannis Antetokounmpo,0.6,1.68,2.12,-0.44
2025,Eastern Conf First Round,MIL,IND,L,1-4,Giannis Antetokounmpo,0.6,Gary Trent Jr.,0.4,0.2,Tyrese Haliburton,1.3,2.12,1.68,0.44
2025,Eastern Conf First Round,NYK,DET,W,4-2,Jalen Brunson,1.2,Josh Hart,0.9,0.3,Cade Cunningham,0.3,3.59,1.73,1.86
2025,Eastern Conf First Round,DET,NYK,L,2-4,Cade Cunningham,0.3,Jalen Duren,0.3,0.0,Jalen Brunson,1.2,1.73,3.59,-1.86
2025,Eastern Conf First Round,BOS,ORL,W,4-1,Jayson Tatum,0.9,Derrick White,0.9,0.0,Paolo Banchero,0.4,8.28,-0.7,8.98
2025,Eastern Conf First Round,ORL,BOS,L,1-4,Paolo Banchero,0.4,Franz Wagner,0.3,0.1,Jayson Tatum,0.9,-0.7,8.28,-8.98
2025,Western Conf First Round,OKC,MEM,W,4-0,Shai Gilgeous-Alexander,2.2,Jalen Williams,1.2,1.0,Santi Aldama,0.1,12.7,4.79,7.91
2025,Western Conf First Round,MEM,OKC,L,0-4,Santi Aldama,0.1,Marvin Bagley III,0.1,0.0,Shai Gilgeous-Alexander,2.2,4.79,12.7,-7.91
2025,Western Conf First Round,DEN,LAC,W,4-3,Nikola JokiÄ,1.8,Jamal Murray,0.6,1.2,Kawhi Leonard,0.6,3.97,4.84,-0.87
2025,Western Conf First Round,LAC,DEN,L,3-4,Kawhi Leonard,0.6,James Harden,0.4,0.2,Nikola JokiÄ,1.8,4.84,3.97,0.87
2025,Western Conf First Round,MIN,LAL,W,4-1,Anthony Edwards,1.2,Julius Randle,0.8,0.4,LeBron James,0.6,5.15,1.45,3.7
2025,Western Conf First Round,LAL,MIN,L,1-4,LeBron James,0.6,Luka DonÄiÄ,0.4,0.2,Anthony Edwards,1.2,1.45,5.15,-3.7
2025,Western Conf First Round,GSW,HOU,W,4-3,Jimmy Butler,0.7,Stephen Curry,0.6,0.1,Alperen ÅengÃ¼n,0.4,3.56,4.97,-1.41
2025,Western Conf First Round,HOU,GSW,L,3-4,Alperen ÅengÃ¼n,0.4,Fred VanVleet,0.4,0.0,Jimmy Butler,0.7,4.97,3.56,1.41
2025,Eastern Conf Semifinals,IND,CLE,W,4-1,Tyrese Haliburton,1.3,Pascal Siakam,1.2,0.1,Donovan Mitchell,0.7,1.68,8.81,-7.13
2025,Eastern Conf Semifinals,CLE,IND,L,1-4,Donovan Mitchell,0.7,Evan Mobley,0.5,0.2,Tyrese Haliburton,1.3,8.81,1.68,7.13
2025,Eastern Conf Semifinals,NYK,BOS,W,4-2,Jalen Brunson,1.2,Josh Hart,0.9,0.3,Jayson Tatum,0.9,3.59,8.28,-4.69
2025,Eastern Conf Semifinals,BOS,NYK,L,2-4,Jayson Tatum,0.9,Derrick White,0.9,0.0,Jalen Brunson,1.2,8.28,3.59,4.69
2025,Western Conf Semifinals,OKC,DEN,W,4-3,Shai Gilgeous-Alexander,2.2,Jalen Williams,1.2,1.0,Nikola JokiÄ,1.8,12.7,3.97,8.73
2025,Western Conf Semifinals,DEN,OKC,L,3-4,Nikola JokiÄ,1.8,Jamal Murray,0.6,1.2,Shai Gilgeous-Alexander,2.2,3.97,12.7,-8.73
2025,Western Conf Semifinals,MIN,GSW,W,4-1,Anthony Edwards,1.2,Julius Randle,0.8,0.4,Jimmy Butler,0.7,5.15,3.56,1.59
2025,Western Conf Semifinals,GSW,MIN,L,1-4,Jimmy Butler,0.7,Stephen Curry,0.6,0.1,Anthony Edwards,1.2,3.56,5.15,-1.59
2025,Eastern Conf Finals,IND,NYK,W,4-2,Tyrese Haliburton,1.3,Pascal Siakam,1.2,0.1,Jalen Brunson,1.2,1.68,3.59,-1.91
2025,Eastern Conf Finals,NYK,IND,L,2-4,Jalen Brunson,1.2,Josh Hart,0.9,0.3,Tyrese Haliburton,1.3,3.59,1.68,1.91
2025,Western Conf Finals,OKC,MIN,W,4-1,Shai Gilgeous-Alexander,2.2,Jalen Williams,1.2,1.0,Anthony Edwards,1.2,12.7,5.15,7.55
